toki_pona_ku_lili	15ae6bca	190
toki_pona_ku_suli	2d8bd636	138
traditional_chinese	58c5a72d	138
traditional_chinese_10k	a5169ce6	9974
traditional_chinese_1k	92fa543e	1000
traditional_chinese_50k	acbab23f	49925
traditional_chinese_5k	139b9668	4991
turkish	2c6c13e1	299
turkish_1k	81f59485	1026
turkish_5k	6133b650	5016
twitch_emotes	88b2fdf8	201
udmurt	ff693c4c	212
ukrainian	34a212e2	199
ukrainian_10k	637e0912	9998
ukrainian_1k	265a101d	1000
ukrainian_50k	289f7dbe	49991
ukrainian_endings	f2bab316	118
ukrainian_latynka	1b1d6a83	199
ukrainian_latynka_10k	6472c0a3	9998
ukrainian_latynka_1k	08b5a237	1000
ukrainian_latynka_50k	ef19d51d	49991
ukrainian_latynka_endings	5191ae2b	117
urdish	6398c7a5	201
urdu	bd091a4a	200
urdu_1k	b157fae1	934
urdu_5k	18ac96b0	4981
urdu_roman	ffe2322d	200
uzbek	8f5ec8ac	196
uzbek_1k	9e9e034e	821
uzbek_70k	249d9576	76595
vietnamese	aa3093fd	319
vietnamese_1k	737d25ff	1000
vietnamese_5k	17d7ea71	5000
viossa	782c3e36	210
viossa_njutro	01e6deef	221
welsh	dfc94664	200
welsh_1k	bab9fc4a	1000
wordle	b6900a12	201
wordle_1k	7cee31db	1000
xhosa	24d9ff4f	871
xhosa_3k	afd59a47	2935
yiddish	487bef3c	200
yoruba_1k	30aa4f90	731
zulu	0539a9eb	174
